id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,lyric_theme,language
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020,euphoric|nostalgic,nightlife,en
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,55,2019,calm|focused,introspection,en
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,62,2018,aggressive|euphoric,rebellion,en
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,48,2021,calm|nostalgic,introspection,en
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,88,2022,euphoric|aggressive,fitness,en
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,41,2017,ethereal|calm,space,en
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,36,2016,warm|nostalgic,love,en
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,71,2021,moody|nostalgic,nightlife,en
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,52,2020,calm|focused,work,en
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,66,2023,euphoric|warm,celebration,en
11,Velvet Basements,Marlow Keys,neo soul,moody,0.55,95,0.44,0.68,0.45,59,2019,moody|warm,love,en
12,Samba Cartography,Lua Vermelha,Latin,happy,0.72,102,0.86,0.91,0.12,74,2022,euphoric|festive,dance,pt
13,Cathedral Steps,Monastery Winds,classical,relaxed,0.22,68,0.52,0.25,0.97,29,1990,calm|solemn,faith,instrumental
14,Dust Road Anthem,Hollow County,country,relaxed,0.48,88,0.63,0.59,0.74,54,2015,nostalgic|warm,home,en
15,Redline Tesseract,Iron Circuit,metal,intense,0.96,168,0.38,0.52,0.04,81,2023,aggressive|euphoric,chaos,en
16,Battery Heart,K7 Vega,electronic,euphoric,0.88,128,0.92,0.85,0.08,83,2021,euphoric|aggressive,nightlife,en
17,Rain on Tin Roof,The Mayhews,folk,chill,0.31,82,0.55,0.51,0.94,44,2018,calm|nostalgic,home,en
18,2AM Cipher,Zelda K,hip hop,focused,0.62,92,0.47,0.71,0.33,69,2022,focused|moody,nightlife,en
